;Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
93;raw_000000_000093.ppm;37;38;5;5;32;33;0
94;raw_000000_000094.ppm;37;38;6;6;32;33;0
95;raw_000000_000095.ppm;36;37;5;5;31;32;0
96;raw_000000_000096.ppm;37;39;5;6;32;34;0
97;raw_000000_000097.ppm;40;41;5;5;35;36;0
98;raw_000000_000098.ppm;38;40;5;6;33;35;0
99;raw_000000_000099.ppm;41;42;6;6;36;37;0
100;raw_000000_000100.ppm;42;42;5;5;37;37;0
101;raw_000000_000101.ppm;44;43;5;5;39;38;0
102;raw_000000_000102.ppm;44;42;5;5;39;37;0
103;raw_000000_000103.ppm;44;42;5;6;39;37;0
104;raw_000000_000104.ppm;45;42;5;5;40;37;0
105;raw_000000_000105.ppm;47;46;6;6;42;41;0
106;raw_000000_000106.ppm;49;49;5;6;44;44;0
107;raw_000000_000107.ppm;49;49;5;6;44;44;0
108;raw_000000_000108.ppm;50;50;6;6;45;45;0
109;raw_000000_000109.ppm;52;52;6;6;47;47;0
110;raw_000000_000110.ppm;54;55;5;6;49;50;0
111;raw_000000_000111.ppm;58;57;6;5;53;52;0
112;raw_000000_000112.ppm;59;59;5;5;54;54;0
113;raw_000000_000113.ppm;63;63;5;5;58;58;0
114;raw_000000_000114.ppm;71;71;7;7;65;65;0
115;raw_000000_000115.ppm;72;73;6;6;66;67;0
116;raw_000000_000116.ppm;77;80;7;8;71;73;0
117;raw_000000_000117.ppm;87;91;7;8;80;83;0
118;raw_000000_000118.ppm;95;97;8;8;87;89;0
119;raw_000000_000119.ppm;108;112;9;9;99;103;0
120;raw_000000_000120.ppm;30;25;6;5;25;20;0
121;raw_000000_000121.ppm;30;26;6;6;25;21;0
122;raw_000000_000122.ppm;29;26;6;6;24;21;0
123;raw_000000_000123.ppm;30;27;6;6;25;22;0
124;raw_000000_000124.ppm;31;26;6;5;25;20;0
125;raw_000000_000125.ppm;32;25;6;5;26;20;0
126;raw_000000_000126.ppm;31;26;5;5;25;20;0
127;raw_000000_000127.ppm;31;27;5;5;26;21;0
128;raw_000000_000128.ppm;32;27;6;5;27;21;0
129;raw_000000_000129.ppm;33;27;6;5;28;22;0
130;raw_000000_000130.ppm;31;27;5;6;26;22;0
131;raw_000000_000131.ppm;29;25;5;5;24;20;0
132;raw_000000_000132.ppm;31;25;6;5;25;20;0
133;raw_000000_000133.ppm;30;26;5;5;25;21;0
134;raw_000000_000134.ppm;32;27;6;5;26;21;0
135;raw_000000_000135.ppm;31;28;5;6;26;23;0
136;raw_000000_000136.ppm;32;28;6;6;27;23;0
137;raw_000000_000137.ppm;31;28;5;6;26;23;0
138;raw_000000_000138.ppm;32;28;6;6;27;23;0
139;raw_000000_000139.ppm;33;27;6;5;27;22;0
140;raw_000000_000140.ppm;33;27;6;5;28;22;0
141;raw_000000_000141.ppm;33;28;6;6;28;23;0
142;raw_000000_000142.ppm;33;27;6;5;28;22;0
143;raw_000000_000143.ppm;33;27;6;5;28;22;0
144;raw_000000_000144.ppm;32;29;5;6;27;24;0
145;raw_000000_000145.ppm;33;29;6;5;28;23;0
146;raw_000000_000146.ppm;34;31;6;6;29;25;0
147;raw_000000_000147.ppm;34;31;5;6;28;25;0
148;raw_000000_000148.ppm;36;31;6;6;30;26;0
149;raw_000000_000149.ppm;36;32;6;6;30;26;0
150;raw_000000_000150.ppm;45;39;6;5;40;34;0
151;raw_000000_000151.ppm;45;42;5;5;40;37;0
152;raw_000000_000152.ppm;48;44;6;5;42;38;0
153;raw_000000_000153.ppm;47;45;5;6;42;40;0
154;raw_000000_000154.ppm;47;45;5;5;42;40;0
155;raw_000000_000155.ppm;48;46;6;5;43;41;0
156;raw_000000_000156.ppm;49;48;5;5;44;43;0
157;raw_000000_000157.ppm;50;52;5;6;44;46;0
158;raw_000000_000158.ppm;52;52;6;6;47;47;0
159;raw_000000_000159.ppm;50;52;5;5;45;47;0
160;raw_000000_000160.ppm;52;53;5;5;47;48;0
161;raw_000000_000161.ppm;53;54;5;6;48;49;0
162;raw_000000_000162.ppm;56;55;6;5;51;50;0
163;raw_000000_000163.ppm;58;58;5;6;52;53;0
164;raw_000000_000164.ppm;60;60;6;6;54;55;0
165;raw_000000_000165.ppm;63;62;6;5;58;57;0
166;raw_000000_000166.ppm;68;65;7;6;62;59;0
167;raw_000000_000167.ppm;70;67;6;6;63;61;0
168;raw_000000_000168.ppm;71;70;6;7;65;64;0
169;raw_000000_000169.ppm;72;71;7;7;65;64;0
170;raw_000000_000170.ppm;74;72;7;6;68;66;0
171;raw_000000_000171.ppm;79;76;7;7;72;70;0
172;raw_000000_000172.ppm;83;81;7;8;75;73;0
173;raw_000000_000173.ppm;85;81;8;7;78;74;0
174;raw_000000_000174.ppm;85;82;8;8;78;75;0
175;raw_000000_000175.ppm;87;84;8;7;79;76;0
176;raw_000000_000176.ppm;92;88;9;7;84;81;0
177;raw_000000_000177.ppm;91;88;8;7;83;81;0
178;raw_000000_000178.ppm;93;93;8;9;85;84;0
179;raw_000000_000179.ppm;94;93;8;9;86;85;0
180;raw_000000_000180.ppm;25;25;5;5;20;20;0
181;raw_000000_000181.ppm;29;26;6;5;23;20;0
182;raw_000000_000182.ppm;30;28;5;5;25;23;0
183;raw_000000_000183.ppm;32;29;5;5;26;24;0
184;raw_000000_000184.ppm;33;32;5;5;28;26;0
185;raw_000000_000185.ppm;35;34;5;6;30;29;0
186;raw_000000_000186.ppm;34;34;5;6;29;29;0
187;raw_000000_000187.ppm;38;37;6;6;33;32;0
188;raw_000000_000188.ppm;41;42;5;5;36;37;0
189;raw_000000_000189.ppm;44;44;5;5;39;39;0
190;raw_000000_000190.ppm;46;47;5;6;41;42;0
191;raw_000000_000191.ppm;50;50;6;6;45;45;0
192;raw_000000_000192.ppm;52;52;6;6;46;46;0
193;raw_000000_000193.ppm;55;55;5;5;50;50;0
194;raw_000000_000194.ppm;56;56;5;5;51;51;0
195;raw_000000_000195.ppm;58;59;5;5;53;54;0
196;raw_000000_000196.ppm;62;62;6;6;56;57;0
197;raw_000000_000197.ppm;64;67;5;6;59;61;0
198;raw_000000_000198.ppm;68;68;6;7;62;62;0
199;raw_000000_000199.ppm;70;67;7;6;64;61;0
200;raw_000000_000200.ppm;71;70;6;7;64;63;0
201;raw_000000_000201.ppm;72;70;6;6;65;63;0
202;raw_000000_000202.ppm;70;70;6;6;64;64;0
203;raw_000000_000203.ppm;71;70;7;6;65;64;0
204;raw_000000_000204.ppm;72;71;7;6;66;65;0
205;raw_000000_000205.ppm;73;74;6;7;66;67;0
206;raw_000000_000206.ppm;75;76;7;7;69;70;0
207;raw_000000_000207.ppm;80;81;7;8;73;74;0
208;raw_000000_000208.ppm;87;86;8;7;79;78;0
209;raw_000000_000209.ppm;98;97;9;8;90;88;0
210;raw_000000_000210.ppm;31;33;5;6;26;28;0
211;raw_000000_000211.ppm;31;32;6;6;26;27;0
212;raw_000000_000212.ppm;31;33;5;6;26;28;0
213;raw_000000_000213.ppm;33;33;6;5;28;28;0
214;raw_000000_000214.ppm;34;34;6;5;29;29;0
215;raw_000000_000215.ppm;35;36;5;5;30;31;0
216;raw_000000_000216.ppm;35;36;5;5;30;31;0
217;raw_000000_000217.ppm;35;35;6;5;30;30;0
218;raw_000000_000218.ppm;34;36;5;5;29;31;0
219;raw_000000_000219.ppm;35;38;5;5;30;32;0
220;raw_000000_000220.ppm;37;39;6;6;32;34;0
221;raw_000000_000221.ppm;39;40;6;5;33;34;0
222;raw_000000_000222.ppm;39;40;6;5;34;35;0
223;raw_000000_000223.ppm;40;42;5;5;34;36;0
224;raw_000000_000224.ppm;42;45;5;6;37;40;0
225;raw_000000_000225.ppm;45;46;6;5;40;41;0
226;raw_000000_000226.ppm;48;48;6;6;43;43;0
227;raw_000000_000227.ppm;49;48;6;5;44;42;0
228;raw_000000_000228.ppm;51;51;6;6;46;45;0
229;raw_000000_000229.ppm;52;52;5;6;47;47;0
230;raw_000000_000230.ppm;55;54;5;6;50;49;0
231;raw_000000_000231.ppm;58;56;6;6;53;51;0
232;raw_000000_000232.ppm;60;58;5;6;54;53;0
233;raw_000000_000233.ppm;64;62;6;6;59;57;0
234;raw_000000_000234.ppm;69;65;7;6;63;60;0
235;raw_000000_000235.ppm;71;74;6;7;65;68;0
236;raw_000000_000236.ppm;76;79;6;7;70;72;0
237;raw_000000_000237.ppm;83;83;7;8;76;76;0
238;raw_000000_000238.ppm;88;85;8;7;81;78;0
239;raw_000000_000239.ppm;99;97;9;8;91;89;0
240;raw_000000_000240.ppm;30;30;5;5;25;25;0
241;raw_000000_000241.ppm;31;31;6;6;26;26;0
242;raw_000000_000242.ppm;30;31;5;6;25;26;0
243;raw_000000_000243.ppm;32;31;6;5;27;26;0
244;raw_000000_000244.ppm;33;32;6;5;28;27;0
245;raw_000000_000245.ppm;34;34;6;6;29;29;0
246;raw_000000_000246.ppm;35;34;6;5;30;29;0
247;raw_000000_000247.ppm;35;35;5;5;30;30;0
248;raw_000000_000248.ppm;37;37;6;6;32;32;0
249;raw_000000_000249.ppm;38;38;6;6;33;33;0
250;raw_000000_000250.ppm;39;38;6;5;34;33;0
251;raw_000000_000251.ppm;40;40;6;6;35;35;0
252;raw_000000_000252.ppm;41;41;6;6;36;36;0
253;raw_000000_000253.ppm;40;42;5;6;35;37;0
254;raw_000000_000254.ppm;43;44;6;6;38;39;0
255;raw_000000_000255.ppm;43;46;5;6;38;40;0
256;raw_000000_000256.ppm;47;46;6;5;41;41;0
257;raw_000000_000257.ppm;48;49;5;5;43;44;0
258;raw_000000_000258.ppm;52;52;6;5;47;46;0
259;raw_000000_000259.ppm;53;54;5;5;48;49;0
260;raw_000000_000260.ppm;58;59;6;6;53;54;0
261;raw_000000_000261.ppm;60;61;5;5;54;56;0
262;raw_000000_000262.ppm;65;69;6;7;59;63;0
263;raw_000000_000263.ppm;70;73;6;6;64;67;0
264;raw_000000_000264.ppm;80;82;7;8;73;75;0
265;raw_000000_000265.ppm;90;92;8;8;82;83;0
266;raw_000000_000266.ppm;105;104;10;9;96;95;0
267;raw_000000_000267.ppm;121;120;11;10;111;109;0
268;raw_000000_000268.ppm;148;145;13;12;135;133;0
269;raw_000000_000269.ppm;185;183;16;16;170;168;0
270;raw_000000_000270.ppm;32;32;5;6;27;27;0
271;raw_000000_000271.ppm;33;32;6;6;28;27;0
272;raw_000000_000272.ppm;34;33;6;6;29;28;0
273;raw_000000_000273.ppm;34;32;6;5;29;27;0
274;raw_000000_000274.ppm;33;33;6;6;28;28;0
275;raw_000000_000275.ppm;33;34;5;6;27;28;0
276;raw_000000_000276.ppm;35;35;6;6;30;30;0
277;raw_000000_000277.ppm;34;34;5;5;29;29;0
278;raw_000000_000278.ppm;34;35;5;6;29;30;0
279;raw_000000_000279.ppm;35;35;5;5;30;30;0
280;raw_000000_000280.ppm;35;37;5;6;30;31;0
281;raw_000000_000281.ppm;36;37;5;5;31;31;0
282;raw_000000_000282.ppm;39;39;6;5;34;33;0
283;raw_000000_000283.ppm;40;40;5;5;34;34;0
284;raw_000000_000284.ppm;40;40;5;5;35;35;0
285;raw_000000_000285.ppm;41;42;5;6;36;37;0
286;raw_000000_000286.ppm;44;43;5;5;39;38;0
287;raw_000000_000287.ppm;46;45;5;5;40;39;0
288;raw_000000_000288.ppm;47;47;5;6;42;42;0
289;raw_000000_000289.ppm;50;49;6;6;45;44;0
290;raw_000000_000290.ppm;52;52;5;6;47;47;0
291;raw_000000_000291.ppm;54;54;5;5;49;49;0
292;raw_000000_000292.ppm;55;57;5;5;50;52;0
293;raw_000000_000293.ppm;61;59;6;6;56;54;0
294;raw_000000_000294.ppm;65;64;6;6;60;59;0
295;raw_000000_000295.ppm;69;68;6;6;63;62;0
296;raw_000000_000296.ppm;74;74;6;7;68;68;0
297;raw_000000_000297.ppm;86;85;8;7;79;77;0
298;raw_000000_000298.ppm;93;96;9;8;85;88;0
299;raw_000000_000299.ppm;103;105;9;9;94;96;0
300;raw_000000_000300.ppm;35;30;5;5;30;25;0
301;raw_000000_000301.ppm;35;29;5;5;30;24;0
302;raw_000000_000302.ppm;36;31;6;5;31;26;0
303;raw_000000_000303.ppm;35;32;5;6;30;27;0
304;raw_000000_000304.ppm;37;34;6;6;32;28;0
305;raw_000000_000305.ppm;37;33;5;5;32;28;0
306;raw_000000_000306.ppm;38;34;5;5;33;29;0
307;raw_000000_000307.ppm;40;35;6;5;35;30;0
308;raw_000000_000308.ppm;39;35;5;5;34;30;0
309;raw_000000_000309.ppm;41;36;6;5;35;30;0
310;raw_000000_000310.ppm;41;38;5;6;36;33;0
311;raw_000000_000311.ppm;43;39;5;6;38;34;0
312;raw_000000_000312.ppm;45;38;5;5;40;33;0
313;raw_000000_000313.ppm;48;40;6;6;43;35;0
314;raw_000000_000314.ppm;50;41;6;6;45;36;0
315;raw_000000_000315.ppm;53;43;6;6;47;37;0
316;raw_000000_000316.ppm;53;45;5;6;48;39;0
317;raw_000000_000317.ppm;57;47;6;6;51;41;0
318;raw_000000_000318.ppm;57;49;5;6;52;43;0
319;raw_000000_000319.ppm;59;51;5;6;54;46;0
320;raw_000000_000320.ppm;63;55;5;6;58;49;0
321;raw_000000_000321.ppm;68;56;7;5;62;51;0
322;raw_000000_000322.ppm;72;59;6;5;66;54;0
323;raw_000000_000323.ppm;77;63;7;5;71;58;0
324;raw_000000_000324.ppm;85;71;8;6;78;65;0
325;raw_000000_000325.ppm;93;76;8;6;85;70;0
326;raw_000000_000326.ppm;101;84;9;8;93;77;0
327;raw_000000_000327.ppm;111;95;9;9;101;87;0
328;raw_000000_000328.ppm;127;106;11;9;116;97;0
329;raw_000000_000329.ppm;144;122;13;11;132;112;0
330;raw_000000_000330.ppm;35;37;6;6;30;32;0
331;raw_000000_000331.ppm;36;39;5;6;30;33;0
332;raw_000000_000332.ppm;37;40;6;6;32;34;0
333;raw_000000_000333.ppm;38;40;5;5;32;34;0
334;raw_000000_000334.ppm;38;40;5;5;33;34;0
335;raw_000000_000335.ppm;41;42;6;6;35;37;0
336;raw_000000_000336.ppm;40;42;5;6;35;37;0
337;raw_000000_000337.ppm;42;43;5;5;37;38;0
338;raw_000000_000338.ppm;44;43;6;5;39;38;0
339;raw_000000_000339.ppm;46;45;6;5;41;40;0
340;raw_000000_000340.ppm;47;47;5;5;41;42;0
341;raw_000000_000341.ppm;47;48;5;5;42;43;0
342;raw_000000_000342.ppm;49;50;5;5;44;45;0
343;raw_000000_000343.ppm;49;53;5;6;44;48;0
344;raw_000000_000344.ppm;52;55;5;6;46;49;0
345;raw_000000_000345.ppm;54;55;5;6;48;50;0
346;raw_000000_000346.ppm;57;58;6;6;52;53;0
347;raw_000000_000347.ppm;60;61;6;6;54;55;0
348;raw_000000_000348.ppm;60;63;6;6;55;57;0
349;raw_000000_000349.ppm;63;69;6;7;57;62;0
350;raw_000000_000350.ppm;64;70;5;6;59;64;0
351;raw_000000_000351.ppm;70;73;7;6;64;67;0
352;raw_000000_000352.ppm;74;79;6;7;68;72;0
353;raw_000000_000353.ppm;82;85;8;7;75;77;0
354;raw_000000_000354.ppm;88;94;7;9;81;86;0
355;raw_000000_000355.ppm;98;100;9;8;90;92;0
356;raw_000000_000356.ppm;108;110;10;10;99;101;0
357;raw_000000_000357.ppm;120;119;11;10;110;109;0
358;raw_000000_000358.ppm;133;134;11;12;122;123;0
359;raw_000000_000359.ppm;156;154;14;14;143;141;0
360;raw_000000_000360.ppm;32;32;5;5;27;27;0
361;raw_000000_000361.ppm;33;34;5;6;28;29;0
362;raw_000000_000362.ppm;33;33;5;5;28;28;0
363;raw_000000_000363.ppm;34;34;5;6;28;29;0
364;raw_000000_000364.ppm;35;35;6;6;30;30;0
365;raw_000000_000365.ppm;36;34;6;5;31;29;0
366;raw_000000_000366.ppm;35;35;5;6;30;30;0
367;raw_000000_000367.ppm;36;35;6;6;31;30;0
368;raw_000000_000368.ppm;38;37;5;5;32;32;0
369;raw_000000_000369.ppm;38;38;5;5;33;33;0
370;raw_000000_000370.ppm;40;39;5;5;34;34;0
371;raw_000000_000371.ppm;42;40;6;5;36;35;0
372;raw_000000_000372.ppm;42;41;5;5;37;36;0
373;raw_000000_000373.ppm;45;45;6;6;40;39;0
374;raw_000000_000374.ppm;46;45;6;5;41;40;0
375;raw_000000_000375.ppm;47;47;6;6;42;42;0
376;raw_000000_000376.ppm;49;49;6;6;44;44;0
377;raw_000000_000377.ppm;53;52;6;5;47;46;0
378;raw_000000_000378.ppm;54;54;5;5;49;49;0
379;raw_000000_000379.ppm;58;57;6;5;53;52;0
380;raw_000000_000380.ppm;62;61;6;6;56;56;0
381;raw_000000_000381.ppm;64;65;5;6;59;60;0
382;raw_000000_000382.ppm;70;70;6;6;64;64;0
383;raw_000000_000383.ppm;75;75;6;6;69;69;0
384;raw_000000_000384.ppm;81;84;7;8;73;76;0
385;raw_000000_000385.ppm;92;94;8;8;84;86;0
386;raw_000000_000386.ppm;106;104;10;9;97;95;0
387;raw_000000_000387.ppm;124;123;11;10;114;112;0
388;raw_000000_000388.ppm;143;141;13;13;131;129;0
389;raw_000000_000389.ppm;178;176;15;15;162;160;0
390;raw_000000_000390.ppm;26;27;5;6;20;21;0
391;raw_000000_000391.ppm;27;27;6;6;22;22;0
392;raw_000000_000392.ppm;27;27;5;6;21;22;0
393;raw_000000_000393.ppm;27;28;5;6;22;23;0
394;raw_000000_000394.ppm;28;28;5;5;23;23;0
395;raw_000000_000395.ppm;30;30;6;6;25;25;0
396;raw_000000_000396.ppm;30;30;6;6;25;25;0
397;raw_000000_000397.ppm;31;29;6;5;25;24;0
398;raw_000000_000398.ppm;31;30;6;5;26;25;0
399;raw_000000_000399.ppm;33;32;6;6;27;27;0
400;raw_000000_000400.ppm;32;32;5;5;27;27;0
401;raw_000000_000401.ppm;34;34;6;6;29;29;0
402;raw_000000_000402.ppm;35;34;6;5;30;29;0
403;raw_000000_000403.ppm;36;37;5;6;31;32;0
404;raw_000000_000404.ppm;37;37;6;6;32;32;0
405;raw_000000_000405.ppm;36;37;5;6;31;32;0
406;raw_000000_000406.ppm;37;37;5;5;32;32;0
407;raw_000000_000407.ppm;39;39;6;5;34;33;0
408;raw_000000_000408.ppm;41;40;6;5;36;35;0
409;raw_000000_000409.ppm;41;41;6;6;35;35;0
410;raw_000000_000410.ppm;43;43;6;6;38;38;0
411;raw_000000_000411.ppm;45;46;5;6;40;41;0
412;raw_000000_000412.ppm;48;49;5;6;43;44;0
413;raw_000000_000413.ppm;51;51;5;5;46;46;0
414;raw_000000_000414.ppm;54;54;5;5;49;49;0
415;raw_000000_000415.ppm;57;58;5;6;52;53;0
416;raw_000000_000416.ppm;60;60;5;5;55;55;0
417;raw_000000_000417.ppm;68;67;7;6;62;61;0
418;raw_000000_000418.ppm;76;77;7;6;69;70;0
419;raw_000000_000419.ppm;86;94;7;8;79;86;0
420;raw_000000_000420.ppm;34;33;6;5;29;28;0
421;raw_000000_000421.ppm;35;33;6;5;30;28;0
422;raw_000000_000422.ppm;34;35;5;6;29;30;0
423;raw_000000_000423.ppm;34;36;5;6;29;31;0
424;raw_000000_000424.ppm;37;38;6;6;31;32;0
425;raw_000000_000425.ppm;36;35;6;5;31;30;0
426;raw_000000_000426.ppm;35;35;5;5;30;30;0
427;raw_000000_000427.ppm;36;36;6;6;31;31;0
428;raw_000000_000428.ppm;36;36;5;6;31;31;0
429;raw_000000_000429.ppm;37;34;5;5;32;29;0
430;raw_000000_000430.ppm;39;37;6;5;34;32;0
431;raw_000000_000431.ppm;41;40;6;6;36;35;0
432;raw_000000_000432.ppm;41;40;6;5;36;35;0
433;raw_000000_000433.ppm;41;39;5;6;36;34;0
434;raw_000000_000434.ppm;42;41;5;5;37;36;0
435;raw_000000_000435.ppm;44;44;6;5;39;39;0
436;raw_000000_000436.ppm;46;46;5;6;41;41;0
437;raw_000000_000437.ppm;48;47;6;6;43;42;0
438;raw_000000_000438.ppm;52;51;6;5;47;46;0
439;raw_000000_000439.ppm;54;54;6;6;49;49;0
440;raw_000000_000440.ppm;57;56;6;5;51;50;0
441;raw_000000_000441.ppm;59;58;6;5;54;53;0
442;raw_000000_000442.ppm;63;63;6;6;58;58;0
443;raw_000000_000443.ppm;68;67;7;6;62;61;0
444;raw_000000_000444.ppm;73;73;7;7;67;67;0
445;raw_000000_000445.ppm;81;80;8;7;73;72;0
446;raw_000000_000446.ppm;85;84;8;7;78;77;0
447;raw_000000_000447.ppm;95;97;8;8;87;88;0
448;raw_000000_000448.ppm;108;110;10;10;99;101;0
449;raw_000000_000449.ppm;129;129;12;12;118;118;0
450;raw_000000_000450.ppm;34;37;5;6;29;32;0
451;raw_000000_000451.ppm;35;37;5;5;30;32;0
452;raw_000000_000452.ppm;34;37;5;6;29;32;0
453;raw_000000_000453.ppm;36;37;6;5;31;32;0
454;raw_000000_000454.ppm;36;37;6;5;31;32;0
455;raw_000000_000455.ppm;37;39;6;6;32;34;0
456;raw_000000_000456.ppm;38;40;6;6;33;35;0
457;raw_000000_000457.ppm;40;41;6;5;35;36;0
458;raw_000000_000458.ppm;40;41;6;5;35;36;0
459;raw_000000_000459.ppm;40;42;5;5;35;37;0
460;raw_000000_000460.ppm;40;42;5;6;35;37;0
461;raw_000000_000461.ppm;41;43;6;6;36;38;0
462;raw_000000_000462.ppm;41;43;5;5;36;38;0
463;raw_000000_000463.ppm;41;44;5;6;36;39;0
464;raw_000000_000464.ppm;44;46;6;5;39;41;0
465;raw_000000_000465.ppm;44;45;5;5;39;40;0
466;raw_000000_000466.ppm;47;48;6;6;42;43;0
467;raw_000000_000467.ppm;48;49;5;5;43;44;0
468;raw_000000_000468.ppm;48;51;5;6;43;46;0
469;raw_000000_000469.ppm;52;55;6;6;47;50;0
470;raw_000000_000470.ppm;52;55;6;6;47;50;0
471;raw_000000_000471.ppm;54;57;6;5;49;52;0
472;raw_000000_000472.ppm;55;57;6;5;50;52;0
473;raw_000000_000473.ppm;56;57;5;6;51;52;0
474;raw_000000_000474.ppm;57;61;5;6;52;56;0
475;raw_000000_000475.ppm;61;62;6;5;56;57;0
476;raw_000000_000476.ppm;61;63;5;5;56;58;0
477;raw_000000_000477.ppm;63;68;5;7;58;62;0
478;raw_000000_000478.ppm;64;68;5;6;59;62;0
